"modelName","serialNumber","inspectionDate","hoursPerWeek","hourMeterReading","TrackLinkInstalledDate","TrackLinkWornValueLeft","TrackLinkWornValueRight"
"349FL","HPD10081","2018-05-15","90.10","3571","""2017-06-22""","15","5"
"D8H","46A26561","2017-03-28T12:00:25-0500","40","","""2013-01-01T00:00:00Z""","1","<0"
"D7R","R7B00005","2017-05-15T15:33:42-0500","40","","""2017-05-15T00:00:00Z""","0",""
"D8T","J8B04873","2017-02-22T15:08:13-0500","40","5183","""2017-02-22T00:00:00-0500""","15","15"
"D4KXL","MMM00209","2017-05-16T07:52:11-0700","40","3560","""2009-04-29T00:00:00-0700""","70",""
"D4KIIXL","Km22362","2018-03-09","40","250","""""","4","0"
"D6D","04X05893","2017-11-09T11:52:23-0800","40","1485","""1983-01-28T00:00:00Z""","20","22"
"D6KLGP","DHA02154","2017-12-11","40","1257","""""","24","24"
"953B","9BL01607","2017-12-11","40","10696","""""","",""
"D6TXL","GCT02292","2017-02-21T00:00:00-0500","40","1166","""2014-01-03T00:00:00Z""","6","14"
"320EL","TFX01365","2017-03-06T11:45:50-0500","40","2884","""2016-10-12T00:00:00-0400""","45","41"
"D7R","2EN00639","2017-01-12","19","22832","""2014-01-16""","72","72"
"D7R","2EN00639","2017-01-12","19","22832","""2014-01-16""","",""
"D4GLGP","TLX01256","2018-05-31","40","6586","""""","70","70"
"D4GLGP","TLX01256","2018-05-31","40","6586","""""","",""
"D4GLGP","TLX01256","2018-05-31","40","6586","""""","",""
"D9T","TWG00644","2017-03-24T00:00:00-0500","40","3845","""2017-03-13T00:00:00-0500""","94","94"
"D9T","RJS01091","2018-03-17","40","17269","""2015-04-06T00:00:00Z""","50","54"
"D6D","04X05085","2017-10-09T11:34:29-0400","30","12206","""2016-05-01T00:00:00Z""","30","30"
"D9L","14Y03082","2018-02-21","40","8503","""2010-01-01""",">120","77"
"D9L","14Y03082","2018-02-21","40","8503","""2010-01-01""",">120","90"
"3800C","00012332","2018-04-18","40","10000","""""","21","17"
"D10R","3KR01453","2018-02-27","40","77370","""2018-01-01""","73","72"
"D10R","3KR01453","2018-02-27","40","77370","""2018-01-01""","",""
"D5KLGP","KYY1711","2018-05-21","40","2521","""2018-01-01""","15","35"
"312BL","8JR01417","2018-01-26","40","","""2013-01-01""","72","82"
"D5GXL","WGB03625","2018-02-15","40","4337","""""","30","34"
"324EL","PNW01528","2017-02-24T00:00:00-0600","40","1963","""""","18","18"
